<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.09.01	16:50:00	72640	72675	72595	72605	3080	13715	5
2017.09.01	17:00:00	72600	72630	72585	72600	1708	8731	5
2017.09.01	17:10:00	72605	72610	72535	72585	3091	15403	5
2017.09.01	17:20:00	72590	72645	72580	72630	1795	8375	5
2017.09.01	17:30:00	72625	72700	72615	72685	1978	9135	5
2017.09.01	17:40:00	72690	72740	72685	72730	1890	8918	5
2017.09.01	17:50:00	72730	72730	72670	72670	991	5582	5
2017.09.04	09:00:00	72300	72480	72255	72405	6308	24832	5
2017.09.04	09:10:00	72400	72470	72370	72405	3641	14569	5
2017.09.04	09:20:00	72410	72435	72305	72315	4339	19095	5
2017.09.04	09:30:00	72315	72360	72285	72355	3272	14470	5
2017.09.04	09:40:00	72355	72375	72305	72310	2723	12022	5
2017.09.04	09:50:00	72310	72385	72305	72350	2169	9231	5
2017.09.04	10:00:00	72350	72365	72275	72340	4172	16387	5
2017.09.04	10:10:00	72340	72440	72330	72365	5693	23302	5
2017.09.04	10:20:00	72365	72480	72365	72435	5089	20870	5
2017.09.04	10:30:00	72435	72515	72350	72365	7786	31227	5
2017.09.04	10:40:00	72370	72430	72310	72430	6648	27973	5
2017.09.04	10:50:00	72430	72450	72390	72435	3372	16180	5
2017.09.04	11:00:00	72435	72500	72410	72485	4164	17121	5
2017.09.04	11:10:00	72490	72645	72430	72595	8919	37285	5
2017.09.04	11:20:00	72595	72600	72535	72565	3886	15673	5
2017.09.04	11:30:00	72565	72675	72555	72625	6217	25463	5
2017.09.04	11:40:00	72620	72695	72620	72625	3075	12662	5
2017.09.04	11:50:00	72630	72650	72590	72595	2762	10595	5
2017.09.04	12:00:00	72595	72650	72575	72610	2775	11117	5
2017.09.04	12:10:00	72605	72605	72530	72535	3816	15615	5
2017.09.04	12:20:00	72530	72540	72470	72475	3958	15688	5
2017.09.04	12:30:00	72470	72590	72465	72550	3322	13417	5
2017.09.04	12:40:00	72555	72600	72525	72545	2076	9173	5
2017.09.04	12:50:00	72545	72555	72495	72540	1886	7749	5
2017.09.04	13:00:00	72535	72565	72510	72525	1138	6063	5
2017.09.04	13:10:00	72530	72530	72485	72510	1244	6319	5
2017.09.04	13:20:00	72510	72520	72500	72505	526	1857	5
2017.09.04	13:30:00	72510	72525	72475	72520	1207	4567	5
2017.09.04	13:40:00	72515	72530	72485	72490	942	3705	5
2017.09.04	13:50:00	72490	72530	72485	72510	739	3361	5
2017.09.04	14:00:00	72510	72565	72510	72560	1290	5470	5
2017.09.04	14:10:00	72560	72595	72540	72570	1769	6386	5
2017.09.04	14:20:00	72570	72580	72545	72575	796	2618	5
2017.09.04	14:30:00	72575	72660	72565	72650	2487	9007	5
2017.09.04	14:40:00	72645	72675	72635	72655	1713	6842	5
2017.09.04	14:50:00	72655	72730	72635	72705	2648	10879	5
2017.09.04	15:00:00	72705	72790	72675	72770	3855	14338	5
2017.09.04	15:10:00	72765	72775	72660	72695	3327	12658	5
2017.09.04	15:20:00	72695	72780	72685	72760	2222	8103	5
2017.09.04	15:30:00	72750	72820	72750	72760	2635	11281	5
2017.09.04	15:40:00	72760	72765	72730	72730	1452	5610	5
2017.09.04	15:50:00	72730	72760	72725	72750	857	3238	5
2017.09.04	16:00:00	72755	72790	72745	72780	1319	5979	5
2017.09.04	16:10:00	72780	72785	72700	72705	1752	6527	5
2017.09.04	16:20:00	72705	72745	72670	72685	1927	6702	5
2017.09.04	16:30:00	72685	72750	72675	72705	2051	8076	5
2017.09.04	16:40:00	72705	72725	72675	72705	1091	3901	5
2017.09.04	16:50:00	72705	72725	72685	72715	829	4447	5
2017.09.04	17:00:00	72720	72800	72715	72785	2387	10535	5
2017.09.04	17:10:00	72785	72865	72775	72840	2431	10995	5
2017.09.04	17:20:00	72840	72850	72775	72800	1384	7364	5
2017.09.04	17:30:00	72800	72860	72800	72840	1059	5996	5
2017.09.04	17:40:00	72845	72890	72835	72875	944	5414	5
2017.09.04	17:50:00	72880	72920	72865	72900	1027	7549	5
2017.09.05	09:00:00	73610	73795	73430	73765	8679	43574	5
2017.09.05	09:10:00	73765	73830	73685	73735	7389	31561	5
2017.09.05	09:20:00	73745	73770	73660	73685	4864	20594	5
2017.09.05	09:30:00	73680	73705	73665	73685	2043	8937	5
2017.09.05	09:40:00	73680	73850	73645	73815	7458	32327	5
2017.09.05	09:50:00	73815	73865	73775	73815	5519	23704	5
2017.09.05	10:00:00	73815	73825	73730	73730	5030	21554	5
2017.09.05	10:10:00	73730	73815	73680	73695	7269	30509	5
2017.09.05	10:20:00	73695	73710	73595	73645	8626	35679	5
2017.09.05	10:30:00	73645	73785	73425	73440	20054	86149	5
2017.09.05	10:40:00	73440	73500	73265	73270	13357	62553	5
2017.09.05	10:50:00	73275	73480	73275	73435	12410	54868	5
2017.09.05	11:00:00	73440	73500	73285	73320	10899	49574	5
2017.09.05	11:10:00	73325	73540	73230	73500	15634	68590	5
2017.09.05	11:20:00	73500	73515	73305	73350	7880	35734	5
2017.09.05	11:30:00	73350	73350	73190	73230	11231	48886	5
2017.09.05	11:40:00	73225	73230	73040	73065	13424	56418	5
2017.09.05	11:50:00	73070	73145	72985	73105	8923	36889	5
2017.09.05	12:00:00	73105	73110	72980	72990	6181	25805	5
2017.09.05	12:10:00	72985	73120	72960	73035	6968	29747	5
2017.09.05	12:20:00	73040	73080	72945	72950	5174	22812	5
2017.09.05	12:30:00	72950	73000	72925	72950	4673	23190	5
2017.09.05	12:40:00	72950	72980	72880	72885	4428	20356	5
2017.09.05	12:50:00	72890	72895	72810	72855	5063	25346	5
2017.09.05	13:00:00	72855	72860	72530	72575	10508	52526	5
2017.09.05	13:10:00	72575	72635	72505	72605	7866	41839	5
2017.09.05	13:20:00	72600	72710	72580	72585	6394	31879	5
2017.09.05	13:30:00	72595	72615	72450	72595	10554	45816	5
2017.09.05	13:40:00	72595	72600	72475	72515	5331	27392	5
2017.09.05	13:50:00	72515	72725	72515	72695	6808	31711	5
2017.09.05	14:00:00	72690	72695	72525	72525	7416	40228	5
2017.09.05	14:10:00	72525	72615	72515	72610	4901	24176	5
2017.09.05	14:20:00	72610	72680	72595	72665	4475	22755	5
2017.09.05	14:30:00	72665	72745	72555	72730	6091	30435	5
2017.09.05	14:40:00	72730	72835	72725	72755	7203	33688	5
2017.09.05	14:50:00	72760	72850	72755	72810	5637	25989	5
2017.09.05	15:00:00	72810	72945	72775	72860	7355	35497	5
2017.09.05	15:10:00	72865	72900	72780	72855	4669	22737	5
2017.09.05	15:20:00	72845	72920	72810	72880	4353	20810	5
2017.09.05	15:30:00	72880	72985	72870	72890	7302	33942	5
2017.09.05	15:40:00	72885	72910	72830	72850	4138	19029	5
2017.09.05	15:50:00	72855	73010	72850	72995	4684	19903	5
2017.09.05	16:00:00	73000	73015	72855	72890	5066	23330	5
2017.09.05	16:10:00	72890	72895	72795	72815	4834	22270	5
2017.09.05	16:20:00	72815	72830	72730	72805	4857	23153	5
2017.09.05	16:30:00	72800	72835	72710	72740	4067	19549	5
2017.09.05	16:40:00	72735	72740	72660	72670	3934	17921	5
2017.09.05	16:50:00	72675	72735	72665	72705	3798	18241	5
2017.09.05	17:00:00	72705	72760	72685	72750	3144	15802	5
2017.09.05	17:10:00	72750	72750	72695	72705	1490	7217	5
2017.09.05	17:20:00	72710	72715	72620	72650	2294	11127	5
2017.09.05	17:30:00	72645	72815	72635	72710	3235	15304	5
2017.09.05	17:40:00	72710	72845	72700	72790	2111	10239	5
2017.09.05	17:50:00	72790	72840	72770	72770	969	5497	5
2017.09.06	09:00:00	73185	73290	73030	73230	9007	37835	5
2017.09.06	09:10:00	73235	73260	73155	73200	5488	20634	5
2017.09.06	09:20:00	73205	73445	73200	73430	9173	36621	5
2017.09.06	09:30:00	73435	73450	73360	73390	4929	15529	5
2017.09.06	09:40:00	73395	73490	73365	73480	5898	23653	5
2017.09.06	09:50:00	73480	73535	73455	73470	5748	22236	5
2017.09.06	10:00:00	73470	73520	73420	73460	5935	24726	5
2017.09.06	10:10:00	73455	73495	73395	73450	7695	33754	5
2017.09.06	10:20:00	73455	73680	73445	73665	12126	51355	5
2017.09.06	10:30:00	73655	73760	73535	73570	17591	74475	5
2017.09.06	10:40:00	73570	73700	73520	73695	10015	40774	5
2017.09.06	10:50:00	73695	73845	73655	73820	9709	43236	5
2017.09.06	11:00:00	73820	73900	73775	73780	10369	47194	5
2017.09.06	11:10:00	73785	73860	73720	73725	8007	36869	5
2017.09.06	11:20:00	73725	73890	73660	73880	11588	50662	5
2017.09.06	11:30:00	73880	73935	73770	73855	9854	45416	5
2017.09.06	11:40:00	73850	73895	73705	73770	9983	43860	5
2017.09.06	11:50:00	73770	73790	73680	73780	7471	33895	5
2017.09.06	12:00:00	73780	73815	73685	73690	6419	28858	5
2017.09.06	12:10:00	73690	73690	73600	73655	8327	38449	5
2017.09.06	12:20:00	73655	73760	73650	73710	5771	25745	5
2017.09.06	12:30:00	73710	73810	73640	73775	7176	29669	5
2017.09.06	12:40:00	73775	73840	73720	73840	4738	21947	5
2017.09.06	12:50:00	73835	73845	73785	73820	3334	14053	5
2017.09.06	13:00:00	73815	73835	73710	73725	4049	18581	5
2017.09.06	13:10:00	73725	73800	73715	73770	2687	11125	5
2017.09.06	13:20:00	73770	73935	73755	73920	6372	29297	5
2017.09.06	13:30:00	73920	73930	73870	73890	3012	15024	5
2017.09.06	13:40:00	73885	74045	73875	74035	7997	34915	5
2017.09.06	13:50:00	74035	74035	73965	73985	3465	17532	5
2017.09.06	14:00:00	73985	74090	73980	74040	5706	27270	5
2017.09.06	14:10:00	74035	74100	74020	74065	4066	18867	5
2017.09.06	14:20:00	74065	74175	74055	74060	6299	29193	5
2017.09.06	14:30:00	74060	74120	74045	74070	3137	12824	5
2017.09.06	14:40:00	74065	74080	73975	74055	5280	21701	5
2017.09.06	14:50:00	74055	74090	74025	74050	3306	15414	5
2017.09.06	15:00:00	74055	74145	74030	74130	4249	19270	5
2017.09.06	15:10:00	74130	74180	74110	74150	4951	24631	5
2017.09.06	15:20:00	74150	74170	74085	74115	5621	20415	5
2017.09.06	15:30:00	74110	74265	74105	74225	8302	35043	5
2017.09.06	15:40:00	74220	74235	74155	74155	4156	16585	5
2017.09.06	15:50:00	74160	74180	74110	74160	4793	20664	5
2017.09.06	16:00:00	74160	74210	74135	74175	3985	18029	5
2017.09.06	16:10:00	74170	74220	74155	74210	3012	13216	5
2017.09.06	16:20:00	74210	74230	74165	74180	2690	12686	5
2017.09.06	16:30:00	74175	74210	74165	74195	2353	11358	5
2017.09.06	16:40:00	74195	74210	74155	74165	3222	15367	5
2017.09.06	16:50:00	74170	74180	73970	73995	8187	40620	5
2017.09.06	17:00:00	73995	74050	73950	74025	4523	19269	5
2017.09.06	17:10:00	74025	74065	73985	73995	3242	16004	5
2017.09.06	17:20:00	73990	74050	73980	74040	1822	8558	5
2017.09.06	17:30:00	74045	74275	74030	74225	5186	23920	5
2017.09.06	17:40:00	74220	74250	74190	74240	2215	11339	5
2017.09.06	17:50:00	74240	74380	74230	74380	1763	9349	5
2017.09.08	09:00:00	74355	74530	74255	74345	7040	30243	5
2017.09.08	09:10:00	74345	74445	74225	74415	7941	32740	5
2017.09.08	09:20:00	74415	74435	74360	74390	3904	15223	5
2017.09.08	09:30:00	74385	74425	74350	74370	2788	9952	5
2017.09.08	09:40:00	74370	74390	74325	74335	3558	14480	5
2017.09.08	09:50:00	74340	74345	74145	74170	9172	39116	5
2017.09.08	10:00:00	74175	74290	74085	74250	10376	42130	5
2017.09.08	10:10:00	74250	74330	74060	74070	13303	50964	5
2017.09.08	10:20:00	74075	74140	74040	74090	5717	24423	5
2017.09.08	10:30:00	74085	74085	73900	73955	12008	49042	5
2017.09.08	10:40:00	73955	74015	73840	73845	7220	27943	5
2017.09.08	10:50:00	73850	74095	73840	74095	10063	38547	5
2017.09.08	11:00:00	74095	74165	74035	74055	8845	32806	5
2017.09.08	11:10:00	74050	74105	73950	73960	10228	40873	5
2017.09.08	11:20:00	73965	73965	73860	73915	7067	32136	5
2017.09.08	11:30:00	73915	73925	73770	73840	8676	38834	5
2017.09.08	11:40:00	73845	73890	73745	73855	7314	32123	5
2017.09.08	11:50:00	73855	73915	73795	73870	6228	26791	5
2017.09.08	12:00:00	73870	74025	73835	73870	7447	28928	5
2017.09.08	12:10:00	73875	73900	73710	73740	6128	27025	5
2017.09.08	12:20:00	73740	73820	73710	73790	4220	18977	5
2017.09.08	12:30:00	73785	73820	73715	73745	4035	19283	5
2017.09.08	12:40:00	73750	73795	73675	73770	4682	20575	5
2017.09.08	12:50:00	73775	73790	73720	73740	2084	9939	5
2017.09.08	13:00:00	73740	73815	73710	73775	3427	18138	5
2017.09.08	13:10:00	73770	73835	73750	73800	2711	13548	5
2017.09.08	13:20:00	73800	73845	73770	73835	2156	10522	5
2017.09.08	13:30:00	73835	73865	73775	73800	2961	11931	5
2017.09.08	13:40:00	73800	73825	73765	73770	2275	10051	5
2017.09.08	13:50:00	73775	73790	73720	73785	3138	12431	5
2017.09.08	14:00:00	73780	73800	73750	73790	1395	5410	5
2017.09.08	14:10:00	73795	73810	73735	73740	2046	8216	5
2017.09.08	14:20:00	73745	73790	73730	73740	1436	6614	5
2017.09.08	14:30:00	73735	73740	73620	73680	5884	25268	5
2017.09.08	14:40:00	73675	73680	73590	73660	3847	17498	5
2017.09.08	14:50:00	73660	73695	73625	73675	2437	11292	5
2017.09.08	15:00:00	73680	73715	73650	73670	2767	12313	5
2017.09.08	15:10:00	73670	73760	73665	73745	4103	17270	5
2017.09.08	15:20:00	73750	73760	73625	73640	4047	16459	5
2017.09.08	15:30:00	73640	73660	73600	73625	3251	15841	5
2017.09.08	15:40:00	73625	73690	73570	73665	4921	22862	5
2017.09.08	15:50:00	73665	73700	73635	73690	2255	11876	5
2017.09.08	16:00:00	73690	73740	73655	73690	3449	15592	5
2017.09.08	16:10:00	73690	73710	73605	73605	2961	14818	5
2017.09.08	16:20:00	73605	73645	73575	73595	2781	11561	5
2017.09.08	16:30:00	73595	73655	73540	73625	4353	22100	5
2017.09.08	16:40:00	73620	73685	73620	73645	2231	10458	5
2017.09.08	16:50:00	73650	73695	73600	73675	3675	18660	5
2017.09.08	17:00:00	73675	73730	73660	73715	2339	13952	5
2017.09.08	17:10:00	73720	73750	73670	73745	1905	9611	5
2017.09.08	17:20:00	73740	73895	73730	73870	4202	22451	5
2017.09.08	17:30:00	73865	73920	73820	73855	2677	11736	5
2017.09.08	17:40:00	73855	73865	73795	73840	1614	7674	5
2017.09.08	17:50:00	73835	73845	73750	73750	1013	6604	5
2017.09.11	09:00:00	74145	74340	74115	74280	7342	26724	5
2017.09.11	09:10:00	74280	74290	74210	74255	3933	13282	5
2017.09.11	09:20:00	74255	74335	74250	74265	4471	15947	5
2017.09.11	09:30:00	74270	74325	74270	74320	1829	7118	5
2017.09.11	09:40:00	74320	74370	74290	74350	4268	15943	5
2017.09.11	09:50:00	74350	74415	74340	74365	4918	18185	5
2017.09.11	10:00:00	74365	74390	74295	74300	5312	21879	5
2017.09.11	10:10:00	74305	74385	74295	74380	4328	19578	5
2017.09.11	10:20:00	74380	74495	74360	74490	8442	31293	5
2017.09.11	10:30:00	74490	74585	74470	74545	12644	48481	5
2017.09.11	10:40:00	74545	74645	74545	74630	9149	36587	5
2017.09.11	10:50:00	74630	74665	74515	74550	9220	37751	5
2017.09.11	11:00:00	74555	74725	74550	74705	10133	40730	5
2017.09.11	11:10:00	74705	74745	74660	74725	6267	24369	5
2017.09.11	11:20:00	74720	74770	74615	74680	8382	32796	5
2017.09.11	11:30:00	74680	74720	74615	74635	7085	28428	5
2017.09.11	11:40:00	74640	74860	74635	74840	12779	51189	5
2017.09.11	11:50:00	74840	74925	74840	74910	7188	31877	5
2017.09.11	12:00:00	74905	74995	74890	74910	8438	39644	5
2017.09.11	12:10:00	74915	74955	74865	74875	4616	19097	5
2017.09.11	12:20:00	74870	74955	74840	74920	5857	25438	5
2017.09.11	12:30:00	74915	74985	74870	74970	4090	16938	5
2017.09.11	12:40:00	74975	75115	74950	75055	10553	45263	5
2017.09.11	12:50:00	75055	75090	75025	75080	2771	13338	5
2017.09.11	13:00:00	75080	75130	75050	75115	4599	21366	5
2017.09.11	13:10:00	75115	75155	75085	75115	3541	15337	5
2017.09.11	13:20:00	75110	75140	75105	75135	1908	8054	5
2017.09.11	13:30:00	75140	75210	75135	75155	5490	24716	5
2017.09.11	13:40:00	75155	75260	75150	75235	4708	22689	5
2017.09.11	13:50:00	75235	75275	75210	75240	2942	13203	5
2017.09.11	14:00:00	75240	75245	75175	75195	2877	12317	5
2017.09.11	14:10:00	75200	75230	75150	75175	3483	14871	5
2017.09.11	14:20:00	75175	75220	75155	75170	3122	15498	5
2017.09.11	14:30:00	75170	75180	75085	75100	5821	26771	5
2017.09.11	14:40:00	75100	75140	75080	75135	3593	15602	5
2017.09.11	14:50:00	75140	75150	75055	75065	4258	17235	5
2017.09.11	15:00:00	75060	75130	75045	75075	4793	18631	5
2017.09.11	15:10:00	75080	75080	75010	75025	4233	16832	5
2017.09.11	15:20:00	75020	75030	74940	74945	5259	20592	5
2017.09.11	15:30:00	74945	75010	74935	74945	3991	17359	5
2017.09.11	15:40:00	74940	75095	74905	75070	8022	33702	5
2017.09.11	15:50:00	75070	75120	75045	75055	5361	20937	5
2017.09.11	16:00:00	75050	75090	75020	75065	3205	13038	5
2017.09.11	16:10:00	75060	75180	75045	75175	5226	22570	5
2017.09.11	16:20:00	75170	75200	75115	75180	5348	20822	5
2017.09.11	16:30:00	75180	75210	75095	75130	4815	19735	5
2017.09.11	16:40:00	75130	75140	74855	74910	12017	52770	5
2017.09.11	16:50:00	74905	75025	74895	74940	5876	29108	5
2017.09.11	17:00:00	74935	74985	74905	74955	3496	17744	5
2017.09.11	17:10:00	74960	74995	74950	74975	1332	6915	5
2017.09.11	17:20:00	74970	75080	74955	75065	2352	10869	5
2017.09.11	17:30:00	75065	75105	75030	75085	2557	12500	5
2017.09.11	17:40:00	75090	75165	75075	75150	2355	10557	5
2017.09.11	17:50:00	75155	75175	74990	74990	1238	6833	5
2017.09.12	09:00:00	74910	75140	74735	74805	13756	55344	5
2017.09.12	09:10:00	74810	74850	74650	74665	8595	38445	5
2017.09.12	09:20:00	74660	74750	74630	74715	6025	23995	5
2017.09.12	09:30:00	74710	74730	74575	74640	8399	31835	5
2017.09.12	09:40:00	74640	74720	74620	74695	6395	26900	5
2017.09.12	09:50:00	74700	74745	74670	74710	4510	19165	5
2017.09.12	10:00:00	74705	74920	74700	74905	14468	57187	5
2017.09.12	10:10:00	74900	74980	74880	74965	9592	38334	5
2017.09.12	10:20:00	74965	74975	74845	74950	9536	39621	5
2017.09.12	10:30:00	74955	75250	74955	75230	20074	87902	5
2017.09.12	10:40:00	75225	75360	75175	75280	15393	66103	5
2017.09.12	10:50:00	75280	75420	75220	75360	11593	50074	5
2017.09.12	11:00:00	75360	75460	75360	75415	9339	42184	5
2017.09.12	11:10:00	75420	75495	75395	75415	7556	35358	5
2017.09.12	11:20:00	75415	75445	75280	75290	9876	43180	5
2017.09.12	11:30:00	75290	75330	75185	75240	10577	47311	5
2017.09.12	11:40:00	75235	75305	75150	75195	9310	38472	5
2017.09.12	11:50:00	75195	75425	75190	75390	12525	51836	5
2017.09.12	12:00:00	75385	75450	75380	75430	4717	20526	5
2017.09.12	12:10:00	75430	75545	75415	75505	8397	37408	5
2017.09.12	12:20:00	75510	75530	75410	75510	6795	28459	5
2017.09.12	12:30:00	75505	75590	75505	75565	6016	26197	5
2017.09.12	12:40:00	75565	75640	75560	75590	6191	27331	5
2017.09.12	12:50:00	75585	75625	75535	75585	3809	16176	5
2017.09.12	13:00:00	75585	75665	75560	75565	4640	22079	5
2017.09.12	13:10:00	75570	75595	75515	75580	4651	19821	5
2017.09.12	13:20:00	75580	75690	75530	75685	5867	27571	5
2017.09.12	13:30:00	75685	75710	75620	75670	4832	21885	5
2017.09.12	13:40:00	75670	75765	75645	75745	4979	25433	5
2017.09.12	13:50:00	75745	75835	75735	75825	5937	26290	5
2017.09.12	14:00:00	75820	75850	75795	75810	3643	15688	5
2017.09.12	14:10:00	75810	75850	75785	75850	3286	13060	5
2017.09.12	14:20:00	75845	75890	75795	75825	5620	26137	5
2017.09.12	14:30:00	75820	75875	75795	75850	3388	14908	5
2017.09.12	14:40:00	75850	75860	75740	75800	6000	24723	5
2017.09.12	14:50:00	75805	75840	75780	75780	3834	18265	5
2017.09.12	15:00:00	75780	75930	75780	75875	7013	31815	5
2017.09.12	15:10:00	75870	75880	75760	75820	8874	36690	5
2017.09.12	15:20:00	75825	75825	75705	75735	6674	29806	5
2017.09.12	15:30:00	75730	75755	75620	75640	8247	37506	5
2017.09.12	15:40:00	75635	75705	75565	75605	9329	43781	5
2017.09.12	15:50:00	75605	75640	75540	75565	5761	26275	5
2017.09.12	16:00:00	75565	75585	75490	75510	5298	24676	5
2017.09.12	16:10:00	75500	75525	75430	75440	4769	21254	5
2017.09.12	16:20:00	75440	75475	75305	75360	8691	40289	5
2017.09.12	16:30:00	75360	75360	75215	75235	6032	28378	5
2017.09.12	16:40:00	75230	75230	74910	74955	13509	61846	5
2017.09.12	16:50:00	74955	75180	74930	75130	11612	48350	5
2017.09.12	17:00:00	75135	75150	75040	75120	3895	17547	5
2017.09.12	17:10:00	75120	75185	75055	75090	3330	15471	5
2017.09.12	17:20:00	75090	75185	75025	75025	2873	13203	5
2017.09.12	17:30:00	75030	75140	75000	75035	3504	14294	5
2017.09.12	17:40:00	75030	75130	75030	75100	1960	7467	5
2017.09.12	17:50:00	75105	75220	75090	75220	1621	7500	5
2017.09.13	09:00:00	74860	75125	74795	75050	10994	42857	5
2017.09.13	09:10:00	75050	75110	74910	74960	7282	27634	5
2017.09.13	09:20:00	74960	75010	74850	74955	8068	29056	5
2017.09.13	09:30:00	74960	75180	74915	74965	15285	56192	5
2017.09.13	09:40:00	74965	75085	74925	75000	8169	29606	5
2017.09.13	09:50:00	75000	75175	74990	75095	9234	34151	5
2017.09.13	10:00:00	75090	75320	75090	75195	18780	71126	5
2017.09.13	10:10:00	75190	75235	74880	74940	15803	53258	5
2017.09.13	10:20:00	74940	75025	74810	74875	14122	50401	5
2017.09.13	10:30:00	74870	75125	74720	74975	25765	94053	5
2017.09.13	10:40:00	74975	74975	74760	74860	13160	46697	5
2017.09.13	10:50:00	74865	75155	74820	75120	15817	57554	5
2017.09.13	11:00:00	75120	75245	74975	75030	15060	56593	5
2017.09.13	11:10:00	75030	75190	75005	75110	9970	37723	5
2017.09.13	11:20:00	75115	75250	75090	75170	9270	35804	5
2017.09.13	11:30:00	75175	75355	75110	75305	15332	59962	5
2017.09.13	11:40:00	75305	75330	74935	74990	15230	58202	5
2017.09.13	11:50:00	74995	75035	74870	74985	11521	45780	5
2017.09.13	12:00:00	74990	75100	74935	75085	8245	33821	5
2017.09.13	12:10:00	75090	75145	74895	74920	12277	51507	5
2017.09.13	12:20:00	74920	75100	74900	75045	8501	35681	5
2017.09.13	12:30:00	75045	75065	74945	74965	4579	18734	5
2017.09.13	12:40:00	74960	75120	74950	75090	5747	23311	5
2017.09.13	12:50:00	75085	75195	75065	75085	6333	25225	5
2017.09.13	13:00:00	75090	75120	75065	75110	2148	9480	5
2017.09.13	13:10:00	75115	75135	75045	75095	2888	12258	5
2017.09.13	13:20:00	75095	75185	75070	75165	2807	12203	5
2017.09.13	13:30:00	75165	75235	75150	75225	5179	22525	5
2017.09.13	13:40:00	75230	75290	75200	75265	3495	16066	5
2017.09.13	13:50:00	75265	75300	75240	75270	2830	12228	5
2017.09.13	14:00:00	75265	75390	75265	75350	6300	26250	5
2017.09.13	14:10:00	75345	75470	75310	75445	7025	27721	5
2017.09.13	14:20:00	75445	75465	75345	75400	5338	21322	5
2017.09.13	14:30:00	75400	75520	75395	75500	6537	27189	5
2017.09.13	14:40:00	75500	75535	75475	75495	3282	13763	5
2017.09.13	14:50:00	75495	75625	75490	75610	5952	25939	5
2017.09.13	15:00:00	75615	75650	75560	75615	4618	19926	5
2017.09.13	15:10:00	75615	75630	75420	75500	9981	41458	5
2017.09.13	15:20:00	75495	75580	75385	75395	8849	35861	5
2017.09.13	15:30:00	75385	75490	75320	75425	8388	36343	5
2017.09.13	15:40:00	75425	75565	75360	75555	8349	33024	5
2017.09.13	15:50:00	75560	75695	75535	75655	9086	36463	5
2017.09.13	16:00:00	75650	75725	75520	75530	7959	33551	5
2017.09.13	16:10:00	75535	75605	75530	75585	4342	20184	5
2017.09.13	16:20:00	75585	75635	75560	75615	3496	15814	5
2017.09.13	16:30:00	75615	75660	75425	75495	9961	42309	5
2017.09.13	16:40:00	75495	75545	75360	75400	8287	36097	5
2017.09.13	16:50:00	75400	75450	75325	75410	7272	33543	5
2017.09.13	17:00:00	75410	75410	75280	75350	5319	24741	5
2017.09.13	17:10:00	75350	75405	75250	75365	4460	21178	5
2017.09.13	17:20:00	75365	75525	75300	75425	3790	18237	5
2017.09.13	17:30:00	75420	75500	75350	75350	2775	12192	5
2017.09.13	17:40:00	75345	75495	75305	75420	2912	13154	5
2017.09.13	17:50:00	75420	75550	75370	75550	1090	5330	5
2017.09.14	09:00:00	75200	75245	75100	75190	6863	27141	5
2017.09.14	09:10:00	75190	75245	75125	75205	6624	26429	5
2017.09.14	09:20:00	75210	75280	75185	75215	6781	27127	5
2017.09.14	09:30:00	75215	75215	75080	75120	11362	42339	5
2017.09.14	09:40:00	75125	75150	74985	75000	9887	33991	5
2017.09.14	09:50:00	75005	75110	74990	75095	5843	22468	5
2017.09.14	10:00:00	75095	75110	74960	75075	9511	37196	5
2017.09.14	10:10:00	75080	75255	75030	75255	12975	45473	5
2017.09.14	10:20:00	75255	75265	75110	75185	9036	33436	5
2017.09.14	10:30:00	75190	75305	74900	74990	26537	96349	5
2017.09.14	10:40:00	74985	75135	74925	75110	13468	47419	5
2017.09.14	10:50:00	75115	75285	75110	75210	13882	49945	5
2017.09.14	11:00:00	75210	75275	75135	75160	8716	32343	5
2017.09.14	11:10:00	75165	75375	75075	75355	14128	53906	5
2017.09.14	11:20:00	75350	75420	75310	75375	9910	39165	5
2017.09.14	11:30:00	75370	75490	75365	75395	11722	48277	5
2017.09.14	11:40:00	75395	75470	75335	75400	8496	35996	5
2017.09.14	11:50:00	75400	75445	75315	75340	8524	34350	5
2017.09.14	12:00:00	75350	75400	75310	75365	4690	20104	5
2017.09.14	12:10:00	75360	75405	75275	75375	7273	28617	5
2017.09.14	12:20:00	75370	75450	75250	75280	9323	37601	5
2017.09.14	12:30:00	75285	75285	75160	75250	9222	38124	5
2017.09.14	12:40:00	75250	75310	75190	75195	4970	19555	5
2017.09.14	12:50:00	75195	75195	75110	75180	6388	26284	5
2017.09.14	13:00:00	75180	75225	75140	75170	3309	14497	5
2017.09.14	13:10:00	75170	75215	75145	75180	2616	13102	5
2017.09.14	13:20:00	75185	75185	75045	75105	6105	26705	5
2017.09.14	13:30:00	75105	75135	75065	75070	2516	10280	5
2017.09.14	13:40:00	75075	75120	75050	75100	2448	10446	5
2017.09.14	13:50:00	75100	75170	75015	75020	5969	23088	5
2017.09.14	14:00:00	75020	75095	74980	75015	6359	30079	5
2017.09.14	14:10:00	75015	75050	74990	75030	2457	10719	5
2017.09.14	14:20:00	75025	75195	75005	75155	8071	32419	5
2017.09.14	14:30:00	75155	75260	75115	75240	6364	27052	5
2017.09.14	14:40:00	75235	75295	75220	75245	5083	20232	5
2017.09.14	14:50:00	75250	75265	75200	75245	3616	14899	5
2017.09.14	15:00:00	75245	75255	75185	75195	3610	14398	5
